venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,monto_total
87,49,2,2026-03-18,10,51.97,519.7
88,12,43,2026-07-05,5,116.67,583.35
89,1,3,2025-10-19,7,409.85,2868.95
90,138,15,2026-06-17,9,44.79,403.11
91,94,29,2026-02-17,4,131.84,527.36
92,18,45,2026-08-15,7,376.51,2635.57
93,160,22,2026-08-23,6,405.67,2434.02
94,170,39,2026-05-07,6,195.7,1174.2
95,185,28,2025-10-26,2,402.29,804.58
96,130,11,2026-03-27,5,69.29,346.45
97,171,27,2026-08-17,5,39.7,198.5
98,84,33,2026-07-03,7,227.13,1589.91
99,179,6,2026-07-25,7,139.88,979.16
100,142,41,2025-10-21,5,149.77,748.85
101,50,36,2025-12-29,3,91.49,274.47
102,171,13,2026-05-26,7,298.27,2087.89
103,174,7,2026-06-21,7,482.54,3377.78
104,158,11,2026-09-12,3,69.29,207.87
105,78,35,2026-08-07,10,484.81,4848.1
106,141,50,2026-04-04,7,301.57,2110.99
107,78,5,2025-11-21,1,473.96,473.96
108,54,25,2026-04-04,5,238.84,1194.2
109,149,3,2026-08-03,7,409.85,2868.95
110,168,45,2026-05-25,10,376.51,3765.1
111,120,29,2025-10-08,6,131.84,791.04
112,114,19,2025-10-01,8,337.8,2702.4
113,131,37,2026-01-09,4,-25.0,-100.0
114,189,19,2025-12-20,8,337.8,2702.4
115,169,27,2025-11-23,3,39.7,119.1
116,73,31,2026-03-16,2,216.72,433.44
117,170,48,2026-06-04,9,37.87,340.83
118,86,14,2026-03-11,10,298.34,2983.4
119,193,37,2026-06-03,2,-25.0,-50.0
120,173,44,2026-08-22,4,293.8,1175.2
121,58,49,2025-12-23,5,427.16,2135.8
122,38,8,2026-02-02,4,359.34,1437.36
123,12,46,2026-04-23,1,34.57,34.57
124,122,3,2026-05-11,4,409.85,1639.4
125,197,28,2025-12-26,10,402.29,4022.9
126,117,5,2026-06-17,2,473.96,947.92
127,162,45,2025-12-29,7,376.51,2635.57
128,50,33,2025-11-17,10,227.13,2271.3
129,127,23,2025-12-10,7,56.22,393.54
130,63,38,2026-01-31,7,452.2,3165.4
131,168,50,2026-08-15,3,301.57,904.71
132,193,37,2026-06-06,1,-25.0,-25.0
133,200,21,2026-05-30,2,129.07,258.14
134,57,9,2025-11-30,7,497.62,3483.34
135,179,39,2026-07-06,3,195.7,587.1
136,119,22,2026-07-09,9,405.67,3651.03
137,143,27,2026-03-11,1,39.7,39.7
138,32,25,2025-12-20,4,238.84,955.36
139,35,20,2025-09-27,8,274.22,2193.76
140,171,46,2025-10-31,8,34.57,276.56
141,144,37,2026-05-08,9,-25.0,-225.0
142,82,23,2025-09-18,10,56.22,562.2
143,157,9,2026-02-01,8,497.62,3980.96
144,110,43,2026-05-08,9,116.67,1050.03
145,115,13,2026-04-19,9,298.27,2684.43
146,191,48,2025-12-11,3,37.87,113.61
147,116,3,2026-06-27,8,409.85,3278.8
148,193,37,2026-07-26,5,-25.0,-125.0
149,164,13,2026-02-14,4,298.27,1193.08
150,197,21,2025-09-24,5,129.07,645.35
151,125,18,2025-09-25,9,261.94,2357.46
152,71,45,2026-01-23,4,376.51,1506.04
153,20,13,2026-01-03,8,298.27,2386.16
154,61,31,2025-09-19,5,216.72,1083.6
155,86,18,2025-09-15,5,261.94,1309.7
156,139,25,2026-02-19,6,238.84,1433.04
157,36,5,2026-06-03,2,473.96,947.92
158,60,4,2026-04-30,3,72.91,218.73
159,178,9,2026-06-05,7,497.62,3483.34
160,181,9,2025-11-21,3,497.62,1492.86
161,17,43,2026-01-03,4,116.67,466.68
162,105,5,2025-11-04,7,473.96,3317.72
163,139,26,2026-05-15,6,339.95,2039.7
164,107,25,2026-01-26,8,238.84,1910.72
165,53,12,2026-03-19,1,41.37,41.37
166,100,34,2026-09-09,7,34.79,243.53
167,179,32,2026-08-26,10,236.69,2366.9
168,196,10,2026-07-14,1,224.67,224.67
169,98,7,2025-10-06,10,482.54,4825.4
170,2,34,2026-02-07,8,34.79,278.32
171,77,5,2025-11-05,6,473.96,2843.76
172,108,40,2026-04-22,7,139.95,979.65
173,192,48,2026-07-07,9,37.87,340.83
174,155,36,2025-10-22,9,91.49,823.41
175,125,18,2026-01-14,4,261.94,1047.76
176,70,11,2026-05-12,4,69.29,277.16
177,125,9,2026-01-06,7,497.62,3483.34
178,100,29,2025-10-29,1,131.84,131.84
179,172,1,2026-04-20,6,128.03,768.18
180,186,50,2026-02-02,7,301.57,2110.99
181,120,50,2026-05-18,3,301.57,904.71
182,160,42,2026-03-06,3,85.85,257.55
183,7,5,2026-04-07,9,473.96,4265.64
184,152,25,2025-09-27,7,238.84,1671.88
185,170,43,2026-04-28,10,116.67,1166.7
186,22,6,2026-03-06,1,139.88,139.88
187,35,8,2026-02-27,7,359.34,2515.38
188,47,41,2026-07-29,8,149.77,1198.16
189,67,1,2026-07-27,1,128.03,128.03
190,84,17,2026-06-02,7,431.22,3018.54
191,117,31,2026-07-02,4,216.72,866.88
192,87,36,2026-05-28,6,91.49,548.94
193,72,49,2025-10-17,7,427.16,2990.12
194,65,6,2025-09-19,7,139.88,979.16
195,121,46,2026-03-14,2,34.57,69.14
196,192,28,2025-10-19,1,402.29,402.29
197,14,40,2025-09-21,9,139.95,1259.55
198,58,27,2026-08-20,6,39.7,238.2
199,200,38,2026-06-30,2,452.2,904.4
200,194,21,2026-05-07,1,129.07,129.07
201,64,21,2026-08-24,1,129.07,129.07
202,6,14,2026-09-11,4,298.34,1193.36
203,40,1,2026-02-12,10,128.03,1280.3
204,33,1,2026-04-17,4,128.03,512.12
205,172,45,2026-03-19,8,376.51,3012.08
206,145,31,2026-06-21,2,216.72,433.44
207,120,13,2025-09-15,4,298.27,1193.08
208,197,12,2026-01-30,5,41.37,206.85
209,43,12,2026-05-13,6,41.37,248.22
210,156,37,2026-09-05,10,-25.0,-250.0
211,200,26,2026-07-21,2,339.95,679.9
212,80,27,2026-05-16,3,39.7,119.1
213,149,28,2026-08-05,2,402.29,804.58
214,80,3,2026-07-23,1,409.85,409.85
215,174,18,2026-06-12,10,261.94,2619.4
216,102,13,2026-01-06,7,298.27,2087.89
217,20,45,2026-02-13,4,376.51,1506.04
218,177,6,2026-01-12,10,139.88,1398.8
219,27,18,2025-12-25,4,261.94,1047.76
220,176,2,2026-07-21,5,51.97,259.85
221,31,9,2026-07-24,10,497.62,4976.2
222,11,39,2025-12-07,10,195.7,1957.0
223,137,5,2026-03-28,6,473.96,2843.76
224,170,24,2026-05-14,7,183.61,1285.27
225,18,17,2025-12-29,6,431.22,2587.32
226,166,42,2026-03-13,9,85.85,772.65
227,4,33,2026-06-19,6,227.13,1362.78
228,126,16,2026-01-11,7,122.18,855.26
229,111,19,2026-03-14,2,337.8,675.6
230,163,15,2025-09-23,6,44.79,268.74
231,182,8,2026-06-19,8,359.34,2874.72
232,112,27,2025-12-11,3,39.7,119.1
233,188,39,2026-06-01,3,195.7,587.1
234,167,36,2026-08-02,9,91.49,823.41
235,158,44,2026-08-06,5,293.8,1469.0
236,199,50,2025-12-06,9,301.57,2714.13
237,120,8,2026-03-04,8,359.34,2874.72
238,188,48,2025-12-29,7,37.87,265.09
239,69,22,2026-02-13,10,405.67,4056.7
240,63,32,2025-12-09,6,236.69,1420.14
241,72,25,2025-11-10,2,238.84,477.68
242,63,45,2026-02-12,8,376.51,3012.08
243,146,1,2026-06-18,8,128.03,1024.24
244,172,40,2026-04-07,10,139.95,1399.5
245,87,13,2026-06-14,7,298.27,2087.89
246,127,32,2026-03-19,1,236.69,236.69
247,47,3,2025-11-09,6,409.85,2459.1
248,55,12,2026-01-09,8,41.37,330.96
249,67,39,2025-12-20,6,195.7,1174.2
250,72,7,2026-08-13,6,482.54,2895.24
251,180,27,2025-10-07,10,39.7,397.0
252,143,37,2026-02-15,5,-25.0,-125.0
253,133,2,2025-09-26,1,51.97,51.97
254,22,36,2026-03-15,4,91.49,365.96
255,185,25,2026-09-10,4,238.84,955.36
256,126,3,2026-02-11,7,409.85,2868.95
257,195,46,2026-04-11,9,34.57,311.13
258,177,14,2026-05-21,4,298.34,1193.36
259,166,25,2025-09-27,8,238.84,1910.72
260,115,27,2025-12-31,8,39.7,317.6
261,24,22,2026-08-15,1,405.67,405.67
262,57,29,2026-05-21,5,131.84,659.2
263,178,36,2025-11-02,7,91.49,640.43
264,9999,28,2026-07-22,4,402.29,1609.16
265,95,9,2026-04-07,10,497.62,4976.2
266,142,23,2025-12-08,8,56.22,449.76
267,89,24,2026-04-05,9,183.61,1652.49
268,191,34,2026-04-27,7,34.79,243.53
269,85,5,2026-01-01,9,473.96,4265.64
270,180,39,2026-05-03,6,195.7,1174.2
271,70,26,2026-01-08,8,339.95,2719.6
272,65,7,2026-02-09,5,482.54,2412.7
273,31,5,2026-01-25,4,473.96,1895.84
274,81,27,2025-11-02,4,39.7,158.8
275,191,28,2026-02-10,2,402.29,804.58
276,196,40,2026-05-28,9,139.95,1259.55
277,50,14,2026-07-30,3,298.34,895.02
278,190,35,2025-12-19,4,484.81,1939.24
279,71,32,2025-11-12,8,236.69,1893.52
280,195,5,2025-12-09,10,473.96,4739.6
281,153,33,2026-04-10,9,227.13,2044.17
282,26,38,2025-10-10,5,452.2,2261.0
283,76,6,2026-05-02,4,139.88,559.52
284,93,44,2025-10-23,4,293.8,1175.2
285,78,27,2026-03-18,3,39.7,119.1
286,182,38,2025-11-13,1,452.2,452.2
287,33,31,2026-05-11,9,216.72,1950.48
288,12,40,2025-12-04,5,139.95,699.75
289,142,20,2026-06-03,1,274.22,274.22
290,179,21,2025-12-31,5,129.07,645.35
291,164,45,2026-08-14,3,376.51,1129.53
292,27,22,2025-11-28,8,405.67,3245.36
293,147,34,2026-04-13,1,34.79,34.79
294,121,29,2026-05-14,5,131.84,659.2
295,113,23,2025-11-13,8,56.22,449.76
296,48,31,2025-10-10,6,216.72,1300.32
297,65,30,2026-06-13,1,272.78,272.78
298,30,46,2025-09-24,8,34.57,276.56
299,103,23,2025-12-02,2,56.22,112.44
300,19,7,2026-05-09,8,482.54,3860.32
301,162,44,2025-11-19,10,293.8,2938.0
302,39,34,2026-02-27,1,34.79,34.79
303,145,36,2026-08-09,3,91.49,274.47
304,22,19,2026-08-21,5,337.8,1689.0
305,31,14,2026-07-12,4,298.34,1193.36
306,196,32,2025-12-12,9,236.69,2130.21
307,156,7,2026-03-26,7,482.54,3377.78
308,159,35,2026-02-17,10,484.81,4848.1
309,199,28,2025-10-11,4,402.29,1609.16
310,98,15,2026-08-13,9,44.79,403.11
311,114,21,2026-08-21,8,129.07,1032.56
312,151,2,2026-08-19,5,51.97,259.85
313,79,21,2025-10-20,7,129.07,903.49
314,159,2,2026-09-04,10,51.97,519.7
315,157,19,2025-09-17,1,337.8,337.8
316,196,15,2025-10-17,2,44.79,89.58
317,161,12,2025-09-18,4,41.37,165.48
318,68,2,2026-03-22,4,51.97,207.88
319,41,48,2025-10-30,2,37.87,75.74
320,45,38,2025-12-17,4,452.2,1808.8
321,20,35,2026-01-25,9,484.81,4363.29
322,1,7,2026-04-22,3,482.54,1447.62
323,116,35,2026-01-19,7,484.81,3393.67
324,121,38,2025-09-26,10,452.2,4522.0
325,9,4,2026-01-12,5,72.91,364.55
326,74,15,2025-11-07,4,44.79,179.16
327,180,39,2025-12-19,5,195.7,978.5
328,19,34,2025-09-16,8,34.79,278.32
329,68,43,2025-11-25,4,116.67,466.68
330,170,19,2025-09-15,10,337.8,3378.0
331,109,35,2026-01-25,4,484.81,1939.24
332,140,10,2025-12-16,2,224.67,449.34
333,166,9,2025-09-17,4,497.62,1990.48
334,69,6,2026-03-22,3,139.88,419.64
335,19,46,2026-07-02,3,34.57,103.71
336,43,34,2026-01-28,1,34.79,34.79
337,153,43,2026-07-07,5,116.67,583.35
338,74,10,2026-05-30,10,224.67,2246.7
339,32,38,2026-02-17,8,452.2,3617.6
340,9999,21,2026-08-07,8,129.07,1032.56
341,180,17,2026-09-05,5,431.22,2156.1
342,70,26,2026-01-13,7,339.95,2379.65
343,139,8,2025-12-22,9,359.34,3234.06
344,113,49,2026-07-09,8,427.16,3417.28
345,154,25,2026-05-23,2,238.84,477.68
346,111,38,2026-07-10,1,452.2,452.2
347,155,5,2026-08-05,6,473.96,2843.76
348,7,5,2026-02-22,5,473.96,2369.8
349,59,18,2025-09-17,2,261.94,523.88
350,151,37,2026-06-27,10,-25.0,-250.0
351,196,20,2025-12-23,1,274.22,274.22
352,148,46,2026-01-27,5,34.57,172.85
353,196,42,2025-12-06,1,85.85,85.85
354,121,12,2026-02-01,3,41.37,124.11
355,167,34,2026-03-28,9,34.79,313.11
356,72,40,2026-07-06,8,139.95,1119.6
357,150,4,2026-02-04,3,72.91,218.73
358,163,49,2025-11-09,7,427.16,2990.12
359,24,41,2026-07-18,8,149.77,1198.16
360,90,41,2025-11-02,8,149.77,1198.16
361,86,16,2025-10-11,7,122.18,855.26
362,172,3,2026-05-15,6,409.85,2459.1
363,42,10,2025-11-09,2,224.67,449.34
364,106,2,2026-04-16,6,51.97,311.82
365,74,24,2026-07-28,8,183.61,1468.88
366,195,43,2026-03-15,7,116.67,816.69
367,10,33,2025-11-14,9,227.13,2044.17
368,23,9,2026-04-04,8,497.62,3980.96
369,65,32,2026-06-13,6,236.69,1420.14
370,30,18,2026-09-04,6,261.94,1571.64
371,132,42,2026-07-12,7,85.85,600.95
372,169,19,2026-09-10,1,337.8,337.8
373,119,12,2026-08-24,9,41.37,372.33
374,14,30,2026-03-16,7,272.78,1909.46
375,133,42,2026-06-14,4,85.85,343.4
376,160,42,2026-07-17,6,85.85,515.1
377,161,43,2025-10-02,8,116.67,933.36
378,195,14,2026-06-02,8,298.34,2386.72
379,53,42,2026-07-19,1,85.85,85.85
380,141,40,2026-08-11,5,139.95,699.75
381,74,2,2026-04-24,3,51.97,155.91
382,179,7,2025-12-08,8,482.54,3860.32
383,32,12,2026-08-12,8,41.37,330.96
384,162,44,2025-11-17,1,293.8,293.8
385,62,39,2025-11-10,10,195.7,1957.0
386,80,2,2026-05-12,3,51.97,155.91
387,4,16,2026-01-18,9,122.18,1099.62
388,105,23,2026-03-20,9,56.22,505.98
389,58,14,2026-09-12,2,298.34,596.68
390,119,50,2026-03-30,2,301.57,603.14
391,166,18,2026-08-19,2,261.94,523.88
392,128,2,2025-12-02,3,51.97,155.91
393,131,47,2026-01-06,5,256.4,1282.0
394,107,39,2026-08-14,5,195.7,978.5
395,121,36,2026-02-23,8,91.49,731.92
396,117,42,2026-08-22,4,85.85,343.4
397,38,1,2026-06-22,9,128.03,1152.27
398,49,26,2026-09-05,7,339.95,2379.65
399,131,17,2026-04-24,10,431.22,4312.2
400,18,37,2026-09-11,3,-25.0,-75.0
401,198,14,2026-04-30,5,298.34,1491.7
402,88,32,2026-02-20,7,236.69,1656.83
403,69,13,2026-08-21,9,298.27,2684.43
404,73,29,2025-10-28,1,131.84,131.84
405,151,21,2025-10-16,5,129.07,645.35
406,169,3,2026-09-05,10,409.85,4098.5
407,39,14,2026-07-01,8,298.34,2386.72
408,138,5,2025-10-25,8,473.96,3791.68
409,89,12,2025-12-11,8,41.37,330.96
410,142,5,2026-03-04,6,473.96,2843.76
411,97,8,2025-11-16,9,359.34,3234.06
412,83,42,2025-10-13,8,85.85,686.8
413,179,36,2026-04-26,4,91.49,365.96
414,147,36,2026-03-26,4,91.49,365.96
415,60,14,2025-12-21,7,298.34,2088.38
416,12,37,2026-01-20,7,-25.0,-175.0
417,191,41,2026-04-10,6,149.77,898.62
418,181,5,2026-05-08,8,473.96,3791.68
419,99,7,2026-07-14,7,482.54,3377.78
420,127,26,2025-10-20,3,339.95,1019.85
421,33,15,2025-12-23,1,44.79,44.79
422,152,50,2026-01-11,9,301.57,2714.13
423,26,8,2026-03-16,6,359.34,2156.04
424,26,45,2026-08-02,8,376.51,3012.08
425,117,7,2026-04-29,9,482.54,4342.86
426,185,20,2026-06-28,1,274.22,274.22
427,105,26,2026-08-16,3,339.95,1019.85
428,20,24,2026-04-08,3,183.61,550.83
429,68,2,2025-11-01,8,51.97,415.76
430,160,21,2026-03-12,6,129.07,774.42
431,167,45,2026-01-24,7,376.51,2635.57
432,85,32,2026-07-25,2,236.69,473.38
433,98,6,2026-09-08,9,139.88,1258.92
434,161,39,2025-11-17,6,195.7,1174.2
435,139,19,2026-08-01,8,337.8,2702.4
436,159,23,2025-11-29,1,56.22,56.22
437,61,24,2025-11-17,2,183.61,367.22
438,59,17,2025-12-02,5,431.22,2156.1
439,112,26,2026-08-10,2,339.95,679.9
440,195,1,2026-08-13,2,128.03,256.06
441,114,47,2026-01-24,2,256.4,512.8
442,178,47,2026-03-09,3,256.4,769.2
443,8,37,2025-10-28,5,-25.0,-125.0
444,84,22,2025-09-26,1,405.67,405.67
445,76,37,2025-09-14,1,-25.0,-25.0
446,96,43,2026-05-30,6,116.67,700.02
447,38,20,2026-08-08,7,274.22,1919.54
448,136,2,2025-09-22,4,51.97,207.88
449,145,24,2026-03-04,7,183.61,1285.27
450,44,40,2026-04-27,3,139.95,419.85
451,21,32,2025-11-14,3,236.69,710.07
452,98,4,2026-01-09,10,72.91,729.1
453,175,46,2026-06-01,10,34.57,345.7
454,128,18,2025-10-10,4,261.94,1047.76
455,37,46,2026-06-08,10,34.57,345.7
456,119,21,2026-04-02,4,129.07,516.28
457,118,28,2026-06-22,5,402.29,2011.45
458,171,2,2026-03-18,5,51.97,259.85
459,120,29,2026-04-01,1,131.84,131.84
460,174,31,2026-01-18,5,216.72,1083.6
461,41,16,2025-11-27,9,122.18,1099.62
462,114,29,2026-04-23,2,131.84,263.68
463,151,33,2026-08-28,6,227.13,1362.78
464,164,20,2026-07-07,5,274.22,1371.1
465,177,4,2025-12-16,7,72.91,510.37
466,117,26,2026-07-15,5,339.95,1699.75
467,51,21,2026-05-21,5,129.07,645.35
468,124,28,2025-12-11,7,402.29,2816.03
469,61,16,2025-12-03,2,122.18,244.36
470,147,14,2026-08-26,7,298.34,2088.38
471,148,43,2026-06-20,6,116.67,700.02
472,180,49,2026-08-07,5,427.16,2135.8
473,6,34,2026-08-22,5,34.79,173.95
474,71,13,2026-09-13,7,298.27,2087.89
475,145,28,2025-11-23,1,402.29,402.29
476,156,7,2026-06-01,1,482.54,482.54
477,74,27,2025-11-08,8,39.7,317.6
478,156,11,2026-01-25,4,69.29,277.16
479,57,9,2026-06-01,6,497.62,2985.72
480,159,26,2025-09-25,4,339.95,1359.8
481,174,1,2026-05-28,5,128.03,640.15
482,161,26,2026-04-23,3,339.95,1019.85
483,161,23,2026-04-20,2,56.22,112.44
484,80,22,2026-05-27,1,405.67,405.67
485,9,44,2026-06-19,8,293.8,2350.4
486,94,10,2025-12-12,10,224.67,2246.7
487,24,34,2026-05-04,3,34.79,104.37
488,84,15,2026-01-08,5,44.79,223.95
489,45,47,2025-12-31,7,256.4,1794.8
490,34,21,2026-02-05,4,129.07,516.28
491,94,39,2026-08-26,9,195.7,1761.3
492,129,22,2026-03-28,9,405.67,3651.03
493,43,19,2025-12-21,5,337.8,1689.0
494,124,4,2025-12-12,5,72.91,364.55
495,192,23,2026-01-20,5,56.22,281.1
496,30,16,2026-09-12,6,122.18,733.08
497,20,16,2025-12-24,8,122.18,977.44
498,194,2,2026-08-01,3,51.97,155.91
499,174,42,2026-06-24,4,85.85,343.4
500,143,9,2026-04-08,7,497.62,3483.34
501,24,46,2026-06-20,6,34.57,207.42
502,4,30,2026-01-22,7,272.78,1909.46
503,138,43,2026-05-26,5,116.67,583.35
504,117,4,2026-07-21,2,72.91,145.82
505,173,50,2026-06-30,6,301.57,1809.42
506,150,16,2026-04-29,5,122.18,610.9
507,164,10,2026-05-26,7,224.67,1572.69
508,28,41,2026-04-15,6,149.77,898.62
509,121,27,2025-09-14,4,39.7,158.8
510,159,19,2026-04-24,1,337.8,337.8
511,84,40,2026-03-17,9,139.95,1259.55
512,57,14,2026-06-27,10,298.34,2983.4
513,163,22,2025-11-20,2,405.67,811.34
514,180,44,2026-03-12,8,293.8,2350.4
515,167,15,2025-10-02,5,44.79,223.95
516,30,8,2026-02-09,7,359.34,2515.38
517,12,16,2025-09-29,3,122.18,366.54
518,78,15,2025-09-28,1,44.79,44.79
519,30,10,2025-12-19,8,224.67,1797.36
520,61,32,2025-12-06,2,236.69,473.38
521,35,29,2025-12-26,9,131.84,1186.56
522,117,13,2026-03-07,7,298.27,2087.89
523,172,25,2025-12-08,6,238.84,1433.04
524,108,3,2026-09-02,9,409.85,3688.65
525,191,43,2025-10-03,10,116.67,1166.7
526,107,2,2025-12-25,3,51.97,155.91
527,126,33,2026-04-26,2,227.13,454.26
528,105,13,2025-12-01,10,298.27,2982.7
529,9,40,2026-05-26,5,139.95,699.75
530,56,32,2026-01-23,6,236.69,1420.14
531,114,27,2026-01-05,8,39.7,317.6
532,93,16,2025-11-08,4,122.18,488.72
533,176,23,2026-07-15,2,56.22,112.44
534,140,45,2026-05-26,6,376.51,2259.06
535,16,42,2026-07-15,6,85.85,515.1
536,71,27,2025-12-30,7,39.7,277.9
537,32,38,2026-07-28,4,452.2,1808.8
538,24,19,2025-12-04,8,337.8,2702.4
539,165,19,2026-03-29,4,337.8,1351.2
540,6,30,2025-09-14,10,272.78,2727.8
541,86,27,2025-10-12,1,39.7,39.7
542,33,46,2026-06-17,4,34.57,138.28
543,53,16,2026-08-05,10,122.18,1221.8
544,196,28,2026-06-07,2,402.29,804.58
545,54,32,2026-07-23,9,236.69,2130.21
546,56,6,2026-07-20,10,139.88,1398.8
547,85,30,2025-10-22,4,272.78,1091.12
548,153,40,2025-10-09,3,139.95,419.85
549,71,21,2025-10-17,1,129.07,129.07
550,34,30,2026-01-01,3,272.78,818.34
551,65,26,2026-07-22,9,339.95,3059.55
552,29,8,2026-02-06,3,359.34,1078.02
553,34,20,2025-09-29,1,274.22,274.22
554,92,11,2026-03-30,1,69.29,69.29
555,151,32,2026-06-10,4,236.69,946.76
556,5,12,2026-07-14,6,41.37,248.22
557,68,28,2026-09-01,3,402.29,1206.87
558,33,43,2025-11-01,1,116.67,116.67
559,135,45,2026-05-27,7,376.51,2635.57
560,191,10,2026-04-19,-1,224.67,449.34
561,122,41,2026-02-04,2,149.77,299.54
562,200,10,2026-08-02,8,224.67,1797.36
563,132,5,2026-04-13,6,473.96,2843.76
564,28,13,2026-04-04,10,298.27,2982.7
565,129,50,2026-06-18,8,301.57,2412.56
566,158,45,2026-05-19,4,376.51,1506.04
567,187,41,2026-04-23,1,149.77,149.77
568,78,27,2026-08-27,9,39.7,357.3
569,165,41,2025-10-16,8,149.77,1198.16
570,16,38,2025-11-19,1,452.2,452.2
571,103,46,2025-09-20,8,34.57,276.56
572,176,48,2025-11-05,7,37.87,265.09
573,126,30,2025-10-07,2,272.78,545.56
574,19,11,2025-09-24,8,69.29,554.32
575,83,5,2025-09-27,2,473.96,947.92
576,38,5,2026-09-06,10,473.96,4739.6
577,33,35,2026-01-20,2,484.81,969.62
578,160,21,2026-05-07,5,129.07,645.35
579,141,49,2026-09-06,10,427.16,4271.6
580,98,16,2026-03-06,6,122.18,733.08
581,136,27,2026-07-07,10,39.7,397.0
582,117,12,2026-06-06,5,41.37,206.85
583,155,46,2026-08-27,9,34.57,311.13
584,26,22,2026-05-15,7,405.67,2839.69
585,168,45,2026-02-20,2,376.51,753.02
586,185,44,2026-01-22,9,293.8,2644.2
587,111,43,2026-04-25,4,116.67,466.68
588,59,32,2025-12-30,8,236.69,1893.52
589,87,40,2026-01-31,7,139.95,979.65
590,103,8,2026-04-11,8,359.34,2874.72
591,187,14,2026-06-08,7,298.34,2088.38
